xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[ｰ/s],MM5_yawRate[ｰ/s]
3.05,0,-0.010434,-0.014103,-0.996816,0.174,0.045
3.06,0,-0.010944,-0.013008,-0.998166,0.209,0.062
3.07,0,-0.010409,-0.012294,-0.998599,0.159,0.053
3.08,0,-0.009135,-0.012167,-0.997096,0.089,0.018
3.09,0,-0.00865,-0.012167,-0.995083,0.063,-0.014
3.1,0,-0.009211,-0.012676,-0.993758,0.092,-0.02
3.11,0,-0.009874,-0.013619,-0.992714,0.136,-0.008
3.12,0,-0.009491,-0.013823,-0.993937,0.221,0.031
3.13,0,-0.009058,-0.012804,-0.997453,0.32,0.06
3.14,0,-0.00888,-0.012141,-0.999873,0.308,0.077
3.15,0,-0.00865,-0.012141,-0.998854,0.22,0.092
3.16,0,-0.008294,-0.013186,-0.996255,0.144,0.115
3.17,0,-0.007708,-0.013746,-0.994676,0.118,0.12
3.18,0,-0.007173,-0.013619,-0.993809,0.127,0.088
3.19,0,-0.006765,-0.012957,-0.99386,0.154,0.068
3.2,0,-0.007096,-0.011683,-0.994828,0.148,0.065
3.21,0,-0.007198,-0.010587,-0.995058,0.077,0.053
3.22,0,-0.007096,-0.009772,-0.993631,0.048,0.05
3.23,0,-0.007682,-0.009619,-0.991847,0.069,0.074
3.24,0,-0.009058,-0.01023,-0.991694,0.087,0.112
3.25,0,-0.010689,-0.011402,-0.991541,0.09,0.12
3.26,0,-0.011326,-0.011963,-0.991185,0.09,0.132
3.27,0,-0.010893,-0.012039,-0.992331,0.09,0.123
3.28,0,-0.010358,-0.01316,-0.994064,0.09,0.112
3.29,0,-0.010358,-0.014562,-0.995848,0.09,0.11
3.3,0,-0.010587,-0.014944,-0.99702,0.054,0.098
3.31,0,-0.010026,-0.015173,-0.995287,0.033,0.083
3.32,0,-0.009466,-0.01553,-0.992153,0.054,0.068
3.33,0,-0.009772,-0.015708,-0.990981,0.104,0.053
3.34,0,-0.010791,-0.014817,-0.992178,0.159,0.05
3.35,0,-0.01153,-0.013466,-0.993427,0.206,0.05
3.36,0,-0.010638,-0.012371,-0.993656,0.191,0.05
3.37,0,-0.008447,-0.012167,-0.992841,0.173,0.074
3.38,0,-0.006536,-0.012472,-0.992943,0.162,0.104
3.39,0,-0.006689,-0.012447,-0.994344,0.124,0.11
3.4,0,-0.008141,-0.012218,-0.994981,0.071,0.098
3.41,0,-0.009084,-0.012472,-0.993937,0.016,0.071
3.42,0,-0.009033,-0.012753,-0.992433,-0.019,0.077
3.43,0,-0.008676,-0.012498,-0.992841,0.031,0.104
3.44,0,-0.007682,-0.011912,-0.995262,0.125,0.11
3.45,0,-0.006638,-0.011988,-0.996841,0.177,0.086
3.46,0,-0.00623,-0.012855,-0.996892,0.185,0.068
3.47,0,-0.007504,-0.013364,-0.997045,0.129,0.053
3.48,0,-0.009568,-0.013237,-0.997198,0.027,0.03
3.49,0,-0.011122,-0.01339,-0.997122,-0.039,0.013
3.5,0,-0.010587,-0.013543,-0.995771,-0.03,0.034
3.51,0,-0.008345,-0.012447,-0.994217,-0.001,0.048
3.52,0,-0.006408,-0.011249,-0.993707,0.017,0.086
3.53,0,-0.005848,-0.010714,-0.995287,0.064,0.127
3.54,0,-0.006816,-0.010944,-0.998345,0.143,0.135
3.55,0,-0.008498,-0.011326,-1.000434,0.204,0.103
3.56,0,-0.009772,-0.012014,-0.999262,0.215,0.051
3.57,0,-0.009695,-0.012982,-0.995822,0.135,0.028
3.58,0,-0.008498,-0.014001,-0.993121,0.015,0.025
3.59,0,-0.008013,-0.014715,-0.992026,-0.022,0.025
3.6,0,-0.008778,-0.013823,-0.99279,-0.001,0.001
3.61,0,-0.009695,-0.012651,-0.994956,0.025,-0.005
3.62,0,-0.009466,-0.012523,-0.997478,0.01,0.007
3.63,0,-0.007937,-0.013364,-0.999007,-0.007,0.054
3.64,0,-0.007275,-0.013568,-0.998956,0.002,0.065
3.65,0,-0.007504,-0.012957,-0.997861,0.037,0.045
3.66,0,-0.008294,-0.012192,-0.996179,0.089,0.004
3.67,0,-0.009389,-0.012141,-0.994701,0.148,-0.017
3.68,0,-0.010536,-0.012472,-0.994013,0.224,0.016
3.69,0,-0.010969,-0.012753,-0.994217,0.252,0.057
3.7,0,-0.010816,-0.012498,-0.995211,0.199,0.065
3.71,0,-0.010358,-0.01181,-0.996561,0.117,0.077
3.72,0,-0.009746,-0.010842,-0.998268,0.056,0.08
3.73,0,-0.009007,-0.01074,-0.999236,0.045,0.068
3.74,0,-0.008345,-0.011071,-0.999287,0.089,0.033
3.75,0,-0.008421,-0.011351,-0.998141,0.112,-0.011
3.76,0,-0.008472,-0.012014,-0.995822,0.115,0.004
3.77,0,-0.007657,-0.012982,-0.993478,0.103,0.054
3.78,0,-0.006841,-0.013696,-0.991796,0.1,0.065
3.79,0,-0.00679,-0.013619,-0.990675,0.148,0.045
3.8,0,-0.007122,-0.013262,-0.991083,0.148,0.016
3.81,0,-0.007708,-0.013797,-0.993172,0.121,0.022
3.82,0,-0.008956,-0.014766,-0.995083,0.095,0.037
3.83,0,-0.010154,-0.015173,-0.994625,0.09,0.048
3.84,0,-0.010587,-0.01502,-0.9933,0.078,0.05
3.85,0,-0.010638,-0.01497,-0.991592,0.075,0.05
3.86,0,-0.010332,-0.014358,-0.989707,0.087,0.074
3.87,0,-0.010052,-0.01288,-0.989732,0.11,0.092
3.88,0,-0.010001,-0.011937,-0.991975,0.115,0.095
3.89,0,-0.010511,-0.01209,-0.993121,0.083,0.059
3.9,0,-0.011249,-0.01288,-0.991847,0.063,0.042
3.91,0,-0.011198,-0.013466,-0.990369,0.06,0.04
3.92,0,-0.010128,-0.01316,-0.99121,0.072,0.028
3.93,0,-0.009364,-0.01153,-0.99414,0.087,0.013
3.94,0,-0.009237,-0.009924,-0.997249,0.09,0.042
3.95,0,-0.008931,-0.009619,-0.997249,0.098,0.086
3.96,0,-0.008956,-0.010842,-0.994344,0.092,0.083
3.97,0,-0.009695,-0.012676,-0.992841,0.054,0.068
3.98,0,-0.00967,-0.01367,-0.994268,0.045,0.053
3.99,0,-0.008498,-0.013517,-0.996306,0.081,0.05
4,0,-0.008217,-0.012625,-0.99651,0.11,0.05
4.01,0,-0.008829,-0.012523,-0.995848,0.103,0.05
4.02,0,-0.008982,-0.01367,-0.995491,0.112,0.03
4.03,0,-0.00837,-0.014766,-0.995338,0.159,0.045
4.04,0,-0.008421,-0.014664,-0.995312,0.162,0.086
4.05,0,-0.009084,-0.01367,-0.994191,0.08,0.095
4.06,0,-0.008727,-0.012727,-0.992484,-0.028,0.071
4.07,0,-0.00809,-0.012447,-0.991414,-0.074,0.045
4.08,0,-0.007963,-0.012931,-0.991643,-0.024,0.028
4.09,0,-0.007963,-0.01367,-0.993274,0.09,0.037
4.1,0,-0.00837,-0.013823,-0.994981,0.183,0.06
4.11,0,-0.009186,-0.013211,-0.995312,0.168,0.089
4.12,0,-0.010689,-0.012243,-0.99572,0.08,0.059
4.13,0,-0.011632,-0.011224,-0.997249,0.016,0.018
4.14,0,-0.011173,-0.011122,-0.998319,-0.007,0.034
4.15,0,-0.010714,-0.011861,-0.997376,0.046,0.084
4.16,0,-0.010026,-0.013262,-0.995262,0.14,0.115
4.17,0,-0.009364,-0.014689,-0.993274,0.18,0.1
4.18,0,-0.009338,-0.015479,-0.991567,0.173,0.071
4.19,0,-0.009874,-0.015301,-0.99093,0.138,0.053
