xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[?/s],MM5_yawRate[?/s]
3.08,0,-0.137681,-0.041316,-0.99809,0.767,1.461
3.09,0,-0.163875,-0.040857,-1.007237,0.574,1.589
3.1,0,-0.179239,-0.039838,-0.99781,0.354,1.723
3.11,0,-0.175494,-0.038589,-0.969833,0.204,1.823
3.12,0,-0.155594,-0.037494,-0.93681,0.193,1.882
3.13,0,-0.132025,-0.037443,-0.918388,0.308,1.924
3.14,0,-0.118265,-0.038258,-0.928886,0.46,2
3.15,0,-0.121221,-0.039277,-0.966189,0.529,2.082
3.16,0,-0.137681,-0.039303,-1.009658,0.436,2.11
3.17,0,-0.155874,-0.037978,-1.033915,0.202,2.116
3.18,0,-0.160893,-0.038717,-1.030297,-0.162,2.147
3.19,0,-0.145376,-0.044959,-1.01111,-0.633,2.174
3.2,0,-0.117399,-0.054744,-0.995924,-1.054,2.18
3.21,0,-0.095843,-0.060375,-0.996714,-1.191,2.186
3.22,0,-0.09597,-0.05561,-1.010193,-0.9,2.241
3.23,0,-0.11824,-0.040934,-1.022092,-0.299,2.335
3.24,0,-0.147313,-0.023454,-1.021455,0.329,2.432
3.25,0,-0.163951,-0.012039,-1.007135,0.715,2.506
3.26,0,-0.158753,-0.011886,-0.984483,0.722,2.572
3.27,0,-0.139184,-0.019632,-0.963004,0.459,2.657
3.28,0,-0.122138,-0.028092,-0.954086,0.199,2.788
3.29,0,-0.118801,-0.036959,-0.961908,0.133,2.943
3.3,0,-0.127566,-0.048093,-0.978827,0.244,3.08
3.31,0,-0.140357,-0.060273,-0.994981,0.388,3.196
3.32,0,-0.149835,-0.070439,-1.008205,0.347,3.291
3.33,0,-0.149555,-0.072962,-1.019034,0.066,3.358
3.34,0,-0.136993,-0.064044,-1.019977,-0.23,3.413
3.35,0,-0.118775,-0.048527,-1.004001,-0.315,3.444
3.36,0,-0.107385,-0.039252,-0.977324,-0.236,3.459
3.37,0,-0.112048,-0.04394,-0.957042,-0.19,3.465
3.38,0,-0.129655,-0.058617,-0.955054,-0.301,3.498
3.39,0,-0.148179,-0.068528,-0.966316,-0.492,3.595
3.4,0,-0.15883,-0.061802,-0.979693,-0.537,3.756
3.41,0,-0.158345,-0.045367,-0.992382,-0.329,3.947
3.42,0,-0.144179,-0.03836,-1.005122,-0.07,4.127
3.43,0,-0.118622,-0.052553,-1.014958,-0.106,4.27
3.44,0,-0.092964,-0.079638,-1.019187,-0.601,4.386
3.45,0,-0.081498,-0.100353,-1.015161,-1.346,4.496
3.46,0,-0.090085,-0.100124,-1.000918,-1.894,4.624
3.47,0,-0.113577,-0.075434,-0.98298,-1.858,4.782
3.48,0,-0.140306,-0.036577,-0.971896,-1.226,4.934
3.49,0,-0.156919,-0.002917,-0.969654,-0.371,5.023
3.5,0,-0.154371,0.008803,-0.972865,0.227,5.036
3.51,0,-0.133757,-0.000064,-0.977859,0.362,5.006
3.52,0,-0.103665,-0.018027,-0.980891,0.205,4.999
3.53,0,-0.074338,-0.042972,-0.980942,-0.002,5.047
3.54,0,-0.055585,-0.068325,-0.977171,-0.188,5.168
3.55,0,-0.056273,-0.076809,-0.970189,-0.353,5.371
3.56,0,-0.076631,-0.060655,-0.971081,-0.457,5.576
3.57,0,-0.103946,-0.024575,-0.993733,-0.368,5.665
3.58,0,-0.119514,0.017543,-1.032106,0.037,5.618
3.59,0,-0.11215,0.044909,-1.060745,0.693,5.469
3.6,0,-0.08667,0.037825,-1.058758,1.294,5.278
3.61,0,-0.057215,-0.01102,-1.026143,1.476,5.167
3.62,0,-0.033493,-0.086339,-0.983362,1.073,5.238
3.63,0,-0.017416,-0.14902,-0.959207,0.329,5.525
3.64,0,-0.010256,-0.159594,-0.968406,-0.247,5.945
3.65,0,-0.014103,-0.111743,-1.002804,-0.322,6.341
3.66,0,-0.026232,-0.036627,-1.044744,0.049,6.605
3.67,0,-0.040067,0.027913,-1.076619,0.531,6.634
3.68,0,-0.049164,0.057139,-1.084442,0.784,6.399
3.69,0,-0.048756,0.044093,-1.069128,0.644,6.004
3.7,0,-0.038793,0.004268,-1.04454,0.235,5.62
3.71,0,-0.025111,-0.03994,-1.023442,-0.114,5.387
3.72,0,-0.014511,-0.074287,-1.012919,-0.145,5.358
