xtime    [s],xdist    [m],MM5_ax   [g],MM5_ay   [g],MM5_az   [g],MM5_rollRate[?/s],MM5_yawRate[?/s]
2.86,0,-0.112481,-0.038666,-0.968482,1.763,12.728
2.87,0,-0.102137,-0.051941,-0.998294,1.681,12.764
2.88,0,-0.085192,-0.05956,-1.032692,1.333,12.789
2.89,0,-0.06965,-0.046488,-1.06286,0.862,12.78
2.9,0,-0.058413,-0.010205,-1.091245,0.333,12.65
2.91,0,-0.049011,0.03436,-1.123681,-0.221,12.285
2.92,0,-0.040093,0.056324,-1.157136,-0.703,11.711
2.93,0,-0.033341,0.028984,-1.184451,-0.911,11.134
2.94,0,-0.029773,-0.051151,-1.197216,-0.725,10.821
2.95,0,-0.030767,-0.15353,-1.189394,-0.333,10.896
2.96,0,-0.035328,-0.233027,-1.165748,0.021,11.326
2.97,0,-0.039048,-0.272751,-1.139912,0.154,11.988
2.98,0,-0.040908,-0.288115,-1.117464,-0.068,12.742
2.99,0,-0.042998,-0.295071,-1.100927,-0.613,13.518
3,0,-0.049903,-0.287988,-1.091143,-1.205,14.292
3.01,0,-0.066821,-0.25252,-1.076645,-1.491,15.011
3.02,0,-0.093142,-0.189609,-1.047699,-1.385,15.555
3.03,0,-0.120202,-0.117832,-1.004715,-1.033,15.843
3.04,0,-0.137121,-0.055534,-0.953857,-0.628,15.882
3.05,0,-0.136942,-0.01288,-0.903865,-0.371,15.725
3.06,0,-0.122826,0.00279,-0.862129,-0.404,15.434
3.07,0,-0.108685,-0.006892,-0.83117,-0.731,15.081
3.08,0,-0.107972,-0.033978,-0.810277,-1.199,14.761
3.09,0,-0.123132,-0.065573,-0.798785,-1.539,14.561
3.1,0,-0.144612,-0.081192,-0.795524,-1.515,14.52
3.11,0,-0.158295,-0.069777,-0.799779,-1.108,14.599
3.12,0,-0.155415,-0.045189,-0.811857,-0.506,14.687
3.13,0,-0.136,-0.035608,-0.835859,0.08,14.748
3.14,0,-0.108838,-0.051635,-0.878589,0.534,14.821
3.15,0,-0.086059,-0.07895,-0.937193,0.882,14.945
3.16,0,-0.076198,-0.106315,-0.997733,1.163,15.131
3.17,0,-0.079383,-0.13498,-1.044412,1.229,15.35
3.18,0,-0.088912,-0.158193,-1.069154,0.929,15.566
3.19,0,-0.094645,-0.160486,-1.080059,0.469,15.776
3.2,0,-0.089269,-0.143796,-1.09048,0.132,15.968
3.21,0,-0.076937,-0.123056,-1.101666,-0.018,16.082
3.22,0,-0.06649,-0.107003,-1.11247,-0.002,16.119
3.23,0,-0.063127,-0.096939,-1.122738,0.183,16.125
3.24,0,-0.068478,-0.092989,-1.123069,0.519,16.125
3.25,0,-0.079994,-0.100378,-1.106227,0.801,16.176
3.26,0,-0.092556,-0.115845,-1.077333,0.735,16.294
3.27,0,-0.101066,-0.125145,-1.045916,0.341,16.407
3.28,0,-0.103283,-0.121705,-1.017633,-0.098,16.481
3.29,0,-0.101831,-0.108048,-0.993503,-0.269,16.553
3.3,0,-0.101423,-0.089218,-0.969807,-0.05,16.621
3.31,0,-0.10601,-0.077931,-0.947716,0.337,16.669
3.32,0,-0.114138,-0.077497,-0.934619,0.504,16.676
3.33,0,-0.119947,-0.073319,-0.931587,0.348,16.613
