Time_s,Ax_g,Ay_g,Az_g,RollRate_deg_s,YawRate_deg_s
77.75,0.127896346247332,0.680830545162056,-0.611364933529457,0.72,52.008
77.76,0.127093070974304,0.673968273831237,-0.625713432419441,1.785,52.281
77.77,0.113697371928619,0.684523458389649,-0.649582112903963,1.999,52.483
77.78,0.103103634871706,0.731849309790025,-0.677476067026404,1.343,52.593
77.79,0.101751457445246,0.791875291439182,-0.683036747329278,0.345,52.543
77.8,0.0979796606957022,0.862384605896293,-0.653588776736568,-0.419,52.251
77.81,0.0839787389091753,0.913736185859492,-0.625504529677287,-0.839,51.761
77.82,0.0924906634917114,0.936688969086031,-0.668675588650732,-0.986999999999537,51.3079999999998
77.83,0.149028638313949,0.953787384013774,-0.819037728773805,-0.661,51.189
77.84,0.227685819571334,0.959943040579907,-1.02164645218325,0.072,51.569
77.85,0.294574254323541,0.945313467591339,-1.2122364298649,0.659999999999649,52.3900000000017
77.86,0.340742011084198,0.881301356796117,-1.38931870255244,0.413,53.558
77.87,0.373631698389772,0.770837733312125,-1.56304782309535,-0.685,54.954
77.88,0.40577884008909,0.650205425677992,-1.70027296219744,-1.96,56.421
77.89,0.438186015196641,0.571538810878522,-1.7548207596438,-2.951,57.683
77.9,0.454427011083973,0.552651463394149,-1.71986201714951,-3.294,58.388
77.91,0.433724323194329,0.552409312401566,-1.62795820033329,-2.466,58.357
77.92,0.370800575964795,0.52102064211143,-1.52897029816958,-0.576,57.719
77.93,0.281472515012037,0.491681213509709,-1.43904816554679,1.25,56.429
77.94,0.192436422841922,0.499088879412427,-1.33798876477764,2.496,54.419
77.95,0.120699913700936,0.539416509330034,-1.20418674360826,3.67,51.958
77.96,0.0756450260831975,0.573798481933321,-1.04220200709297,4.83700000000048,49.510999999997
77.97,0.0674418453012112,0.609045851986596,-0.907344806603436,5.173,47.374
77.98,0.0844783656731032,0.672211073931937,-0.83244689063327,4.108,45.752
77.99,0.0891751369120539,0.697467119473275,-0.768627591946423,1.683,44.954
78,0.0548946680452021,0.629466245749715,-0.666613366862119,-1.697,44.973
78.01,0.00226074376392172,0.570270618977664,-0.568310428696792,-4.971,45.243
78.02,-0.0242023812845183,0.601504169791642,-0.538388595545803,-6.677,45.434
78.03,-0.00829250371447117,0.64111758837235,-0.5568806545858,-6.517,45.756
78.04,0.0306750501773345,0.620561501886369,-0.580068740460233,-5.667,46.332
78.05,0.0660145665000796,0.575302698999595,-0.600039041283316,-4.491,47.049
78.06,0.0818634850526224,0.582630204608451,-0.639259717535891,-2.321,47.679
78.07,0.0767721306790759,0.640531675632724,-0.70353349986772,1.03500000000473,48.1510000000004
78.08,0.0572629910685531,0.699337459248709,-0.751702169441363,4.362,48.438
78.09,0.0318283129803127,0.735265347335802,-0.769354925508147,6.393,48.558
78.1,0.0191448856945154,0.765745408910111,-0.794183682855585,7.06699999999946,48.5860000000001
78.11,0.0422928795069817,0.796960726277059,-0.886440335224628,6.686,48.654
78.12,0.104272877119261,0.829962159115534,-1.07263191027396,5.309,48.871
78.13,0.177987243669113,0.845268503193004,-1.28902895987529,3.04,49.288
78.14,0.215414085058184,0.818800715382217,-1.41554950520645,0.26,49.747
78.15,0.196720835855168,0.748144572010567,-1.41039524340834,-2.218,50.029
78.16,0.162556188121653,0.659097484900473,-1.36293269017914,-3.439,49.914
78.17,0.149905315094658,0.586402208942049,-1.38206312068212,-3.102,49.179
78.18,0.154740258542061,0.550805370399148,-1.48109322042971,-2.133,47.704
78.19,0.157221905168586,0.524601901547687,-1.57606755646361,-1.229,45.62
78.2,0.144886075040769,0.475545883996057,-1.57136396359085,0.073,43.261
78.21,0.11966024578709,0.413301427080914,-1.46061517522933,1.64800000000057,40.8139999999963
78.22,0.0779803074334388,0.386619577815409,-1.33903372775571,2.046,38.247
78.23,0.0244364459824904,0.389429433307818,-1.29608714706352,0.194,35.638
78.24,-0.025915836592631,0.379165664855981,-1.3077204103116,-3.06,33.273
78.25,-0.0642559353574153,0.339053425100877,-1.27037566705729,-6.132,31.438
78.26,-0.0820151787183256,0.305348879102622,-1.13173371492856,-7.862,29.973
78.27,-0.0854504565150936,0.290901058213718,-0.940013069968194,-7.699,28.531
78.28,-0.0927999602247526,0.284192265761755,-0.771485758563573,-5.704,26.938
78.29,-0.115202138733275,0.24621980056966,-0.655678895834201,-2.452,25.272
78.3,-0.151886758646323,0.18151305481525,-0.566174638469166,1.016,23.587
78.31,-0.19214037416816,0.119948050958432,-0.468384782658744,3.142,21.781
78.32,-0.225686539035491,0.0980126398589975,-0.380482238084527,2.4239999999944,19.7219999999969
78.33,-0.240866356991564,0.133291726428655,-0.353840787111518,-1.52,17.521
78.34,-0.234102210133428,0.170068043444998,-0.390775503618549,-7.039,15.598
78.35,-0.209308882143005,0.161241114291568,-0.447167046633242,-11.7140000000043,14.2839999999989
78.36,-0.180581445118117,0.152222703024934,-0.512464729097123,-14.77,13.497
78.37,-0.151820368341736,0.15464882094017,-0.631945269467647,-16.369,12.97
78.38,-0.119266305310418,0.130267557608662,-0.824457615882016,-15.33,12.428
78.39,-0.0843944254060245,0.0868575595096656,-1.01602766627976,-10.631,11.496
78.4,-0.0498933564983186,0.0429071991659112,-1.15272595913386,-3.718,9.906
78.41,-0.0174380892338701,-0.0103074701748515,-1.25811023803164,2.788,7.871
78.42,0.0193858768797448,-0.0914569477654927,-1.3366737112489,7.115,5.92
78.43,0.0549155890716991,-0.181474922156763,-1.37001753925422,8.363,4.353
78.44,0.0673578621752947,-0.209704587397069,-1.3635126398235,6.232,3.045
78.45,0.0475814870112443,-0.151503227603033,-1.34232612218219,1.776,1.819
78.46,0.00717443097061774,-0.0767606522905382,-1.32355351692589,-2.68200000000367,0.796999999999062
78.47,-0.0324540545459386,-0.0464395764410504,-1.31899640146384,-5.267,0.137
78.48,-0.0530107082283798,-0.0463866161172418,-1.33646816879286,-5.621,-0.314
78.49,-0.0471105261587314,-0.0488890244985992,-1.35700328137944,-4.454,-0.945
78.5,-0.0288922648676561,-0.0778655664910143,-1.33603429071183,-2.552,-1.987
78.51,-0.0175620275242037,-0.172494300209923,-1.23905087661115,-0.278,-3.409
78.52,-0.0114119590140764,-0.274747178684976,-1.10006093720217,1.802,-5.359
78.53,-0.0120155856733807,-0.322143528659064,-0.990053864647654,2.309,-7.867
78.54,-0.0296424563298976,-0.330432438459913,-0.926919757563812,0.232,-10.512
78.55,-0.0618573451716703,-0.322001507353431,-0.877041963864897,-3.893,-12.886
78.56,-0.0946279732324706,-0.313125082164713,-0.810878293333924,-8.829,-14.807
78.57,-0.10758194604764,-0.297705101798125,-0.722504732599433,-13.1020000000019,-16.3570000000019
78.58,-0.0990296908347089,-0.295913854308251,-0.619999943805632,-14.462,-17.706
78.59,-0.0904087470059212,-0.338438198290414,-0.517843680326844,-11.328,-18.851
78.6,-0.0941325404880646,-0.383222938267293,-0.425641529863844,-5.03799999999106,-19.8640000000016
78.61,-0.0979346852244393,-0.399017276421493,-0.355513298964127,1.255,-20.982
78.62,-0.0757987057149087,-0.438733445056105,-0.347882875193767,5.258,-22.324
78.63,-0.0187462473100064,-0.513229730275554,-0.422535710364558,6.836,-23.814
78.64,0.0485400594604601,-0.596890159184252,-0.535574134767406,6.392,-25.377
78.65,0.103588518944658,-0.649137271685436,-0.654727171615618,3.944,-27.187
78.66,0.152743174613684,-0.701732411231425,-0.800537736373069,-0.089,-29.35
78.67,0.205832096883801,-0.771760582582942,-0.995194054211684,-4.753,-31.911
78.68,0.265477533791865,-0.833281078507974,-1.23003349379165,-9.12,-35.044
78.69,0.327178401986085,-0.880481565229968,-1.44093677753815,-12.33,-38.837
78.7,0.389074745700336,-0.894252866905579,-1.55487692878831,-13.579,-43.205
78.71,0.451570791047252,-0.837705897984882,-1.57067872805034,-12.370999999995,-48.0390000000073
78.72,0.511691338019456,-0.721415981320341,-1.56600608871808,-8.831,-53.154
78.73,0.563505482182521,-0.623386131145155,-1.59633493504068,-4.003,-58.006
78.74,0.583949656651111,-0.603846366619828,-1.62580402156175,0.608,-61.952
78.75,0.562311953197274,-0.651709047756118,-1.59178027254838,4.181,-64.84
78.76,0.516042343221563,-0.697233106282724,-1.48349512425194,6.648,-66.958
78.77,0.461093060373368,-0.73739999680541,-1.34616369381676,7.69,-68.279
78.78,0.403811252714595,-0.795068057354087,-1.21701135976713,6.898,-68.511
78.79,0.35611565047772,-0.838202683929561,-1.10336922219091,4.722,-67.776
78.8,0.322496391009278,-0.839575988235821,-1.00726738780412,2.148,-66.568
