Time_s,Ax_g,Ay_g,Az_g,RollRate_deg_s,YawRate_deg_s
64.52,-0.495134584781665,-0.483922923374125,-0.994565507409363,-7.077,-40.968
64.53,-0.461144857934086,-0.616794926430915,-1.07837802391878,-7.003,-43.678
64.54,-0.411069648798611,-0.734655703693325,-1.13814473098779,-6.179,-46.491
64.55,-0.358795107244635,-0.767889888929485,-1.13610001041205,-4.241,-49.747
64.56,-0.308001973869947,-0.757290333220943,-1.08691157315149,-1.866,-53.334
64.57,-0.266596098458089,-0.756941219971594,-1.02904075008714,-0.0889999999987224,-56.9810000000051
64.58,-0.254348307407029,-0.762447528549751,-0.983198779391914,0.81,-60.544
64.59,-0.265248581320864,-0.767191728269632,-0.956504453969007,1.049,-63.846
64.6,-0.270639833570441,-0.802249182145338,-0.95801528695863,0.836,-66.646
64.61,-0.254325141911136,-0.852749143905549,-0.978554641831583,0.531,-68.963
64.62,-0.227448586462527,-0.821301399328908,-0.977817348406479,0.683,-70.992
64.63,-0.212221305730658,-0.711753861365114,-0.920530083062276,1.149,-72.736
64.64,-0.21699943094185,-0.67113353520178,-0.856245355514432,0.967,-74.151
64.65,-0.242285064098912,-0.74629715702839,-0.853816697320854,-0.257,-75.421
64.66,-0.277772340730175,-0.795303147140334,-0.85723956208433,-1.712,-76.672
64.67,-0.307017634623102,-0.704576383108748,-0.781126311388315,-2.064,-77.596
64.68,-0.31071634939127,-0.557713721097405,-0.692637477372827,-0.488,-77.706
64.69,-0.260179493044054,-0.484093573689904,-0.741743563756364,2.871,-76.909
64.7,-0.163812846897536,-0.456644273789913,-0.922439161684649,7.168,-75.732
64.71,-0.0760266426699218,-0.40121473563131,-1.08413311925736,11.1360000000034,-74.6469999999985
64.72,-0.0397408672826387,-0.330726192196937,-1.13953111823042,13.528,-73.573
64.73,-0.0519334337156198,-0.300424205903811,-1.12637068678337,13.791,-72.219
64.74,-0.0727921972426398,-0.324744176281122,-1.11189132560495,12.336,-70.556
64.75,-0.0690048808080105,-0.375292094337297,-1.10896300461214,10.021,-68.902
64.76,-0.0538814197959899,-0.422335126468308,-1.1138255558149,7.218,-67.634
64.77,-0.0630400106076079,-0.468719183799585,-1.13817858977925,3.377,-66.781
64.78,-0.0897990246141859,-0.54528907947339,-1.17756821305019,-2.063,-66.117
64.79,-0.110121659884596,-0.623644707598867,-1.19399702112933,-8.157,-65.748
